Timestamp,Open,High,Low,Close,Volume
1750984680.0,107194,107200,107194,107199,0.01804888
1750984740.0,107201,107235,107199,107232,0.10728041
1750984800.0,107234,107234,107221,107221,0.05404709
1750984860.0,107217,107217,107126,107126,0.55161199
1750984920.0,107125,107125,107097,107099,0.02669903
1750984980.0,107020,107020,106978,107000,0.42335454
1750985040.0,107000,107001,106978,106983,0.29358541
1750985100.0,106983,106983,106943,106948,0.81219409
1750985160.0,106948,106969,106947,106968,0.11765621
1750985220.0,106969,106981,106969,106976,0.16527325
1750985280.0,106976,106976,106976,106976,0.14262590
